,Genre,has_gamepass_remediation,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,game_count,momentum_genre_baseline,discovery_capture_baseline,quality_retention_baseline,momentum_diff_vs_baseline,momentum_pct_vs_baseline,discovery_capture_diff_vs_baseline,quality_retention_vs_baseline,quality_pct_vs_baseline,momentum_lift,discovery_lift,quality_lift
95,Driving/Racing,False,16.3,23.09,0.0,0.06,0.11,0.0,-1.1,2.1,-0.1,2.02,2.19,0.0,2.64,2.13,3.8,3.75,0.5,3.8,7.11,21.77,0.0,28.07,87.37,2.0,82750.7,389832.8,2310.0,27,17.77,0.01,0.25,-1.4699999999999989,-8.272369161508152,-0.01,-0.35,-140.0,9.399999999999999,0.17,0.6
96,Driving/Racing,True,25.7,8.59,25.0,0.15,0.06,0.17,0.46,0.09,0.5,4.12,0.52,4.3,4.2,0.82,4.3,3.74,0.74,3.8,6.6,4.51,4.0,27.2,21.32,19.0,4655.8,2681.53,5556.0,5,17.77,0.01,0.25,7.93,44.62577377602701,0.16,0.25,100.0,9.399999999999999,0.17,0.6
97,Driving/Racing / Action-Adventure / Platformer,False,33.33,,33.33,0.26,,0.26,0.4,,0.4,4.0,,4.0,4.7,,4.7,4.3,,4.3,4.0,,4.0,12.0,,12.0,1513.0,,1513.0,1,33.33,0.26,0.4,0.0,0.0,0.0,0.0,0.0,-33.33,-0.26,-0.4
98,Driving/Racing / Platformer,False,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,3.68,-1.5,0.0,0.0,0.0,2.5,3.54,2.5,4.0,0.14,4.0,0.0,0.0,0.0,0.5,0.71,0.5,125.0,22.63,125.0,2,0.0,0.0,-1.5,0.0,,0.0,0.0,-0.0,0.0,0.0,1.5
99,Driving/Racing / Shooter / Vehicular Combat,False,25.61,,25.61,0.13,,0.13,0.0,,0.0,4.6,,4.6,4.5,,4.5,4.5,,4.5,21.0,,21.0,82.0,,82.0,16410.0,,16410.0,1,25.61,0.13,0.0,0.0,0.0,0.0,0.0,,-25.61,-0.13,0.0
100,Driving/Racing / Simulation,False,28.57,,28.57,0.05,,0.05,-0.9,,-0.9,2.5,,2.5,3.1,,3.1,4.0,,4.0,2.0,,2.0,7.0,,7.0,3676.0,,3676.0,1,28.08,0.2,0.0,0.490000000000002,1.7450142450142523,-0.15000000000000002,-0.9,,-0.9800000000000004,0.29000000000000004,1.8
101,Driving/Racing / Simulation,True,27.59,,27.59,0.34,,0.34,0.9,,0.9,4.4,,4.4,4.4,,4.4,3.5,,3.5,8.0,,8.0,29.0,,29.0,2363.0,,2363.0,1,28.08,0.2,0.0,-0.48999999999999844,-1.7450142450142394,0.14,0.9,,-0.9800000000000004,0.29000000000000004,1.8
102,Driving/Racing / Vehicular Combat / Soccer,True,25.72,,25.72,0.12,,0.12,-0.9,,-0.9,2.8,,2.8,3.2,,3.2,4.1,,4.1,178.0,,178.0,692.0,,692.0,148048.0,,148048.0,1,25.72,0.12,-0.9,0.0,0.0,0.0,0.0,-0.0,25.72,0.12,-0.9
103,Dual-Joystick Shooter,False,0.0,0.0,0.0,0.0,0.0,0.0,-2.48,2.73,-3.75,0.0,0.0,0.0,1.25,2.5,0.0,3.72,0.32,3.75,0.0,0.0,0.0,0.25,0.5,0.0,667.0,39.56,664.0,4,11.11,0.0,-2.05,-11.11,-100.0,0.0,-1.7000000000000002,82.9268292682927,33.33,0.01,3.15
104,Dual-Joystick Shooter,True,33.33,0.0,33.33,0.01,0.0,0.01,-0.6,0.0,-0.6,5.0,0.0,5.0,3.0,0.0,3.0,3.6,0.0,3.6,1.0,0.0,1.0,3.0,0.0,3.0,19253.0,0.0,19253.0,2,11.11,0.0,-2.05,22.22,200.0,0.01,1.4499999999999997,-70.73170731707317,33.33,0.01,3.15
105,Dual-Joystick Shooter / Platformer,False,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,0.0,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,469.0,0.0,469.0,2,0.0,0.0,-3.5,0.0,,0.0,0.0,-0.0,0.0,0.0,3.5
106,Educational,False,50.0,,50.0,0.01,,0.01,-1.3,,-1.3,1.0,,1.0,3.0,,3.0,4.3,,4.3,1.0,,1.0,2.0,,2.0,6878.0,,6878.0,1,50.0,0.01,-1.3,0.0,0.0,0.0,0.0,-0.0,-50.0,-0.01,1.3
107,Fantasy / Post-Apocalyptic,False,38.89,,38.89,0.27,,0.27,0.1,,0.1,5.0,,5.0,4.8,,4.8,4.7,,4.7,7.0,,7.0,18.0,,18.0,2583.0,,2583.0,1,38.89,0.27,0.1,0.0,0.0,0.0,0.0,0.0,-38.89,-0.27,-0.1
108,Fighting,False,31.28,25.98,27.5,0.16,0.17,0.1,0.11,0.99,0.2,2.61,2.05,2.1,4.14,1.04,4.45,4.04,0.47,4.0,2.76,4.68,1.0,10.0,23.68,4.0,3023.18,8869.0,1032.5,38,31.16,0.09,0.2,0.120000000000001,0.38510911424904043,0.010000000000000009,0.0,0.0,-4.609999999999999,-0.03,0.39999999999999997
