,publisher,has_gamepass_remediation,Unnamed: 2,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count,momentum_mean_baseline,discovery_capture_median_baseline,quality_retention_median_baseline,momentum_mean_diff_baseline,momentum_mean_diff_baseline_pct,discovery_capture_median_diff_baseline,discovery_capture_median_diff_baseline_pct,quality_retention_median_diff_baseline,quality_retention_median_diff_baseline_pct,momentum_lift,discovery_lift,quality_lift
56,Blizzard Entertainment,False,29.9,4.851,29.9,10.02,14.114,10.02,0.1,0.566,0.1,3.5,0.707,3.5,4.3,0.0,4.3,4.2,0.566,4.2,5.0,5.657,5.0,18.5,21.92,18.5,11175.0,15796.765,11175.0,0.0,2.0,,33.27,0.35,0.2,-28.419000000000004,-85.41929666366096,-0.24999999999999997,-71.42857142857143,3.3,1649.9999999999995,-4.851,0.1,-1.5
57,Blizzard Entertainment,True,40.0,,40.0,0.35,,0.35,0.2,,0.2,2.0,,2.0,3.2,,3.2,3.0,,3.0,2.0,,2.0,5.0,,5.0,573.0,,573.0,1.0,1.0,,33.27,0.35,0.2,,,-0.14999999999999997,-42.85714285714285,1.8,900.0,-4.851,0.1,-1.5
58,Bloober Team NA,False,60.0,,60.0,0.04,,0.04,0.0,,0.0,2.7,,2.7,3.4,,3.4,3.4,,3.4,3.0,,3.0,5.0,,5.0,6839.0,,6839.0,0.0,1.0,,60.0,0.04,0.0,,,-0.04,-100.0,2.7,,0.0,0.0,-2.7
59,Bloober Team S.A.,False,26.47,,26.47,0.01,,0.01,0.1,,0.1,4.9,,4.9,4.6,,4.6,4.5,,4.5,9.0,,9.0,34.0,,34.0,122037.0,,122037.0,0.0,1.0,,26.47,0.01,0.1,,,0.09000000000000001,900.0,4.800000000000001,4800.000000000001,0.0,-0.1,-4.9
60,Blue Sunset Games,False,0.0,,0.0,0.0,,0.0,-3.5,,-3.5,0.0,,0.0,0.0,,0.0,3.5,,3.5,0.0,,0.0,0.0,,0.0,64.0,,64.0,0.0,1.0,,0.0,0.0,-3.5,,,-3.5,,3.5,-100.0,0.0,3.5,0.0
61,Bohemia Interactive a.s.,True,27.14,,27.14,0.14,,0.14,0.6,,0.6,3.8,,3.8,3.4,,3.4,2.8,,2.8,38.0,,38.0,140.0,,140.0,26988.0,,26988.0,1.0,1.0,,27.14,0.14,0.6,,,0.45999999999999996,328.5714285714285,3.1999999999999997,533.3333333333333,0.0,0.6,3.8
62,Boneloaf,True,26.56,,26.56,0.16,,0.16,0.5,,0.5,4.1,,4.1,4.4,,4.4,3.9,,3.9,34.0,,34.0,128.0,,128.0,21166.0,,21166.0,1.0,1.0,,26.56,0.16,0.5,,,0.33999999999999997,212.49999999999994,3.5999999999999996,719.9999999999999,0.0,0.5,4.1
63,Born Ready Games,False,0.0,,0.0,0.0,,0.0,-2.7,,-2.7,0.0,,0.0,0.0,,0.0,2.7,,2.7,0.0,,0.0,0.0,,0.0,5859.0,,5859.0,0.0,1.0,,0.0,0.0,-2.7,,,-2.7,,2.7,-100.0,0.0,2.7,0.0
64,Bossa Studios,False,53.33,,53.33,0.05,,0.05,-2.0,,-2.0,1.8,,1.8,1.5,,1.5,3.5,,3.5,8.0,,8.0,15.0,,15.0,15818.0,,15818.0,0.0,1.0,,53.33,0.05,-2.0,,,-2.05,-4099.999999999999,3.8,-190.0,0.0,2.0,-1.8
65,Brave At Night,False,0.0,,0.0,0.0,,0.0,-3.2,,-3.2,0.0,,0.0,0.0,,0.0,3.2,,3.2,0.0,,0.0,0.0,,0.0,508.0,,508.0,0.0,1.0,,0.0,0.0,-3.2,,,-3.2,,3.2,-100.0,0.0,3.2,0.0
