Genre,has_gamepass_remediation,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,game_count
Shooter / Action-Adventure,True,23.08,,23.08,0.09,,0.09,0.4,,0.4,4.5,,4.5,4.5,,4.5,4.1,,4.1,6.0,,6.0,26.0,,26.0,6564.0,,6564.0,1
Shooter / Brawler / Action-Adventure,False,13.64,19.28,13.64,0.05,0.07,0.05,-2.25,2.9,-2.25,2.1,2.97,2.1,2.05,2.9,2.05,4.3,0.0,4.3,4.5,6.36,4.5,16.5,23.33,16.5,4903.5,6416.99,4903.5,2
Shooter / Compilation,False,0.0,,0.0,0.0,,0.0,0.6,,0.6,0.0,,0.0,5.0,,5.0,4.4,,4.4,0.0,,0.0,1.0,,1.0,6599.0,,6599.0,1
Shooter / First-Person Shooter,False,22.31,,22.31,0.09,,0.09,-0.1,,-0.1,3.2,,3.2,3.0,,3.0,3.1,,3.1,58.0,,58.0,260.0,,260.0,61524.0,,61524.0,1
Shooter / MOBA,False,0.0,,0.0,0.0,,0.0,0.5,,0.5,0.0,,0.0,5.0,,5.0,4.5,,4.5,0.0,,0.0,1.0,,1.0,390.0,,390.0,1
Shooter / Music/Rhythm,False,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,0.0,-2.2,0.0,0.0,0.0,1.0,0.0,1.0,3.2,0.0,3.2,0.0,0.0,0.0,1.0,0.0,1.0,915.0,0.0,915.0,2
Shooter / Platformer / Action-Adventure,True,36.94,2.53,36.94,0.04,0.02,0.04,-0.2,0.35,-0.2,4.4,0.46,4.4,4.35,0.4,4.35,4.55,0.06,4.55,21.0,13.86,21.0,59.0,41.57,59.0,43196.0,11834.53,43196.0,4
Simulation,False,24.43,27.33,16.67,0.09,0.15,0.04,-0.57,1.63,0.3,1.9,2.1,1.0,3.18,1.8,4.0,3.75,0.35,3.7,1.46,1.96,1.0,4.32,4.64,3.0,2476.0,2927.33,1172.0,41
Simulation,True,17.34,11.73,16.78,0.14,0.15,0.12,0.14,0.49,0.05,3.14,1.96,3.95,4.14,0.87,4.5,4.01,0.59,4.1,6.86,7.44,4.0,30.43,27.94,23.0,8168.71,9578.9,5094.0,14
Simulation / Fighting / Boxing,False,33.94,,33.94,0.64,,0.64,0.4,,0.4,4.6,,4.6,4.2,,4.2,3.8,,3.8,37.0,,37.0,109.0,,109.0,5786.0,,5786.0,1
