Genre,momentum_median,momentum_mean,momentum_std,discovery_capture_median,discovery_capture_mean,quality_retention_median,quality_retention_mean,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_trend_7d_vs_alltime_mean,rating_trend_7d_vs_alltime_std,rating_trend_7d_vs_alltime_median,game_count
Action / Strategy / Simulation / Flight Simulator,40.0,40.0,,0.13,0.13,-1.5,-1.5,6.0,,6.0,15.0,,15.0,4625.0,,4625.0,3.6,,3.6,2.1,,2.1,1.0,,1.0,-2.6,,-2.6,1
RPG / First-Person Shooter,40.0,30.0,20.0,0.04,0.08,0.4,0.04,1.6,1.14,2.0,4.6,1.52,5.0,3612.8,4458.1,1608.0,3.98,0.67,4.3,4.02,0.63,3.8,3.0,1.87,3.0,-0.98,2.07,-1.3,5
Fantasy / Post-Apocalyptic,38.89,38.89,,0.27,0.27,0.1,0.1,7.0,,7.0,18.0,,18.0,2583.0,,2583.0,4.7,,4.7,4.8,,4.8,5.0,,5.0,0.3,,0.3,1
Shooter / Platformer / Action-Adventure,36.94,36.94,2.53,0.04,0.04,-0.2,-0.2,21.0,13.86,21.0,59.0,41.57,59.0,43196.0,11834.53,43196.0,4.55,0.06,4.55,4.35,0.4,4.35,4.4,0.46,4.4,-0.15,0.4,-0.15,4
Puzzle / Block-Breaking,36.36,36.36,0.0,0.21,0.21,0.8,0.8,4.0,0.0,4.0,11.0,0.0,11.0,1887.0,0.0,1887.0,4.2,0.0,4.2,5.0,0.0,5.0,5.0,0.0,5.0,0.8,0.0,0.8,2
RPG / Card Game / Action-Adventure,35.29,35.29,,0.16,0.16,0.3,0.3,6.0,,6.0,17.0,,17.0,3693.0,,3693.0,4.4,,4.4,4.7,,4.7,4.2,,4.2,-0.2,,-0.2,1
RPG / Simulation / Fishing / Action-Adventure,34.44,34.44,,0.25,0.25,-0.2,-0.2,31.0,,31.0,90.0,,90.0,12429.0,,12429.0,4.7,,4.7,4.5,,4.5,4.4,,4.4,-0.3,,-0.3,1
RPG / Simulation / Action-Adventure,34.34,34.34,,0.36,0.36,0.0,0.0,34.0,,34.0,99.0,,99.0,9499.0,,9499.0,3.8,,3.8,3.8,,3.8,3.7,,3.7,-0.1,,-0.1,1
Simulation / Fighting / Boxing,33.94,33.94,,0.64,0.64,0.4,0.4,37.0,,37.0,109.0,,109.0,5786.0,,5786.0,3.8,,3.8,4.2,,4.2,4.6,,4.6,0.8,,0.8,1
Action‑Adventure,33.33,20.39,18.63,0.59,0.4,0.0,0.38,1.6,2.51,1.0,6.0,6.24,3.0,1127.0,1361.72,886.0,4.28,0.57,4.6,4.66,0.25,4.7,2.86,2.63,4.3,-1.42,2.39,0.3,5
Action / Strategy / First-Person Shooter,33.33,33.33,0.0,0.06,0.06,0.1,0.1,1.0,0.0,1.0,3.0,0.0,3.0,1738.0,0.0,1738.0,4.2,0.0,4.2,4.3,0.0,4.3,3.0,0.0,3.0,-1.2,0.0,-1.2,2
Pinball,33.33,33.33,,0.1,0.1,1.2,1.2,1.0,,1.0,3.0,,3.0,1018.0,,1018.0,3.8,,3.8,5.0,,5.0,5.0,,5.0,1.2,,1.2,1
Action / Compilation / Platformer,33.33,33.33,,0.03,0.03,0.6,0.6,1.0,,1.0,3.0,,3.0,3141.0,,3141.0,4.4,,4.4,5.0,,5.0,5.0,,5.0,0.6,,0.6,1
Sports / Driving/Racing / Simulation,33.33,33.33,,0.06,0.06,0.4,0.4,1.0,,1.0,3.0,,3.0,1650.0,,1650.0,3.9,,3.9,4.3,,4.3,5.0,,5.0,1.1,,1.1,1
Driving/Racing / Action-Adventure / Platformer,33.33,33.33,,0.26,0.26,0.4,0.4,4.0,,4.0,12.0,,12.0,1513.0,,1513.0,4.3,,4.3,4.7,,4.7,4.0,,4.0,-0.3,,-0.3,1
Puzzle / Platformer / Action-Adventure,31.14,30.33,30.79,0.09,0.08,0.4,0.47,4.67,3.78,6.0,14.17,10.59,14.0,5028.5,4050.97,4899.0,4.3,0.33,4.3,4.77,0.29,4.9,2.95,2.3,4.25,-1.35,2.09,-0.35,6
Adventure / First-Person Shooter,30.36,29.33,1.78,0.09,0.07,0.2,0.23,12.33,8.08,17.0,41.0,25.98,56.0,15995.67,6556.39,19781.0,4.43,0.29,4.6,4.67,0.23,4.8,4.63,0.29,4.8,0.2,0.0,0.2,3
Action / Action-Adventure,30.27,31.04,26.08,0.08,0.13,0.2,0.4,7.75,8.06,6.0,23.0,23.93,14.5,8066.5,10847.81,3930.0,4.0,1.07,4.45,4.4,0.45,4.5,3.3,2.22,4.25,-0.7,1.21,-0.35,4
Minigame Collection / Platformer,30.0,30.0,,0.01,0.01,0.0,0.0,12.0,,12.0,40.0,,40.0,90928.0,,90928.0,4.6,,4.6,4.6,,4.6,4.8,,4.8,0.2,,0.2,1
Action / Strategy / RPG / Simulation,30.0,30.0,,0.05,0.05,0.6,0.6,3.0,,3.0,10.0,,10.0,5858.0,,5858.0,4.3,,4.3,4.9,,4.9,4.7,,4.7,0.4,,0.4,1
RPG / Platformer / Action-Adventure,28.57,28.57,,0.06,0.06,-0.2,-0.2,2.0,,2.0,7.0,,7.0,3156.0,,3156.0,4.3,,4.3,4.1,,4.1,3.0,,3.0,-1.3,,-1.3,1
MOBA,28.57,28.57,,0.01,0.01,-1.1,-1.1,2.0,,2.0,7.0,,7.0,24714.0,,24714.0,3.8,,3.8,2.7,,2.7,1.5,,1.5,-2.3,,-2.3,1
RPG / Brawler / Action-Adventure,28.57,37.3,26.12,0.19,0.19,0.9,0.77,1.67,0.58,2.0,5.33,2.08,6.0,1087.0,453.4,1054.0,3.87,0.25,3.9,4.63,0.64,5.0,4.5,0.87,5.0,0.63,0.64,0.9,3
Driving/Racing / Simulation,28.08,28.08,0.69,0.2,0.2,0.0,0.0,5.0,4.24,5.0,18.0,15.56,18.0,3019.5,928.43,3019.5,3.75,0.35,3.75,3.75,0.92,3.75,3.45,1.34,3.45,-0.3,1.7,-0.3,2
RPG / Simulation / First-Person Shooter,27.14,27.14,,0.14,0.14,0.6,0.6,38.0,,38.0,140.0,,140.0,26988.0,,26988.0,2.8,,2.8,3.4,,3.4,3.8,,3.8,1.0,,1.0,1
