publisher,has_gamepass_remediation,momentum_mean,discovery_capture_mean,quality_retention_mean,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count
bilibili Game,False,0.0,0.0,-2.2,0.0,,0.0,0.0,,0.0,2.2,,2.2,0.0,,0.0,0.0,,0.0,3296.0,,3296.0,0.0,1.0
cdv Software Entertainment,False,33.33,0.13,0.8,5.0,,5.0,5.0,,5.0,4.2,,4.2,1.0,,1.0,3.0,,3.0,759.0,,759.0,0.0,1.0
"iam8bit, Inc.",False,0.0,0.0,-4.1,0.0,,0.0,0.0,,0.0,4.1,,4.1,0.0,,0.0,0.0,,0.0,3079.0,,3079.0,0.0,1.0
"inXile entertainment, Inc. ",True,0.0,0.0,-3.9,0.0,,0.0,0.0,,0.0,3.9,,3.9,0.0,,0.0,0.0,,0.0,606.0,,606.0,1.0,1.0
"inXile entertainment, inc. ",True,66.67,0.19,-0.3,3.5,,3.5,3.0,,3.0,3.3,,3.3,2.0,,2.0,3.0,,3.0,1027.0,,1027.0,1.0,1.0
indie.io,False,0.0,0.0,-1.0,0.0,0.0,0.0,2.5,3.536,2.5,3.5,0.424,3.5,0.0,0.0,0.0,0.5,0.707,0.5,931.0,439.82,931.0,0.0,2.0
"nWay, Inc",False,36.36,0.38,-0.3,2.2,,2.2,2.5,,2.5,2.8,,2.8,12.0,,12.0,33.0,,33.0,3173.0,,3173.0,0.0,1.0
straka.studio s.r.o.,False,0.0,0.0,-2.8,0.0,,0.0,0.0,,0.0,2.8,,2.8,0.0,,0.0,0.0,,0.0,874.0,,874.0,0.0,1.0
tinyBuild,False,14.622,0.028,-1.153,1.294,1.993,0.0,2.529,2.272,3.5,3.682,0.671,3.8,1.059,2.076,0.0,6.647,12.409,1.0,2422.941,1795.118,2184.0,0.0,17.0
tinyBuild,True,4.59,4.59,0.0,3.8,,3.8,3.6,,3.6,3.6,,3.6,27.0,,27.0,588.0,,588.0,588.0,,588.0,1.0,1.0
tinyBuild GAMES,False,0.0,0.0,-3.8,0.0,,0.0,0.0,,0.0,3.8,,3.8,0.0,,0.0,0.0,,0.0,2337.0,,2337.0,0.0,1.0
unidevstudio,False,0.0,0.0,-3.9,0.0,,0.0,0.0,,0.0,3.9,,3.9,0.0,,0.0,0.0,,0.0,479.0,,479.0,0.0,1.0
株式会社 カプコン,False,0.0,0.0,1.4,0.0,,0.0,5.0,,5.0,3.6,,3.6,0.0,,0.0,1.0,,1.0,241.0,,241.0,0.0,1.0
