publisher,has_gamepass_remediation,momentum_mean,discovery_capture_mean,quality_retention_mean,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count
Nordic Games,False,50.0,0.35,-1.1,3.0,,3.0,2.5,,2.5,3.6,,3.6,1.0,,1.0,2.0,,2.0,289.0,,289.0,0.0,1.0
Nordic Games GmbH,False,0.0,0.0,-0.1,0.0,,0.0,3.0,,3.0,3.1,,3.1,0.0,,0.0,1.0,,1.0,599.0,,599.0,0.0,1.0
Numskull Games,False,0.0,0.0,-2.8,0.0,,0.0,0.0,,0.0,2.8,,2.8,0.0,,0.0,0.0,,0.0,4.0,,4.0,0.0,1.0
Nyamyam,False,0.0,0.0,-3.5,0.0,,0.0,0.0,,0.0,3.5,,3.5,0.0,,0.0,0.0,,0.0,427.0,,427.0,0.0,1.0
ORiGO GAMES,False,0.0,0.0,-3.4,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,4070.0,0.0,4070.0,0.0,4.0
Oddworld Inhabitants Inc.,False,50.0,0.06,-1.3,3.5,,3.5,3.2,,3.2,4.5,,4.5,2.0,,2.0,4.0,,4.0,3473.0,,3473.0,0.0,1.0
Other Ocean Group,False,50.0,0.06,1.5,5.0,,5.0,5.0,,5.0,3.5,,3.5,1.0,,1.0,2.0,,2.0,1804.0,,1804.0,0.0,1.0
Out of the Park Developments,False,0.0,0.0,-3.5,0.0,,0.0,0.0,,0.0,3.5,,3.5,0.0,,0.0,0.0,,0.0,103.0,,103.0,0.0,1.0
Outright Games,False,0.0,0.0,1.2,0.0,,0.0,5.0,,5.0,3.8,,3.8,0.0,,0.0,5.0,,5.0,1502.0,,1502.0,0.0,1.0
Outright Games ,False,0.0,0.0,-2.5,0.0,,0.0,0.0,,0.0,2.5,,2.5,0.0,,0.0,0.0,,0.0,1984.0,,1984.0,0.0,1.0
Outright Games Ltd,False,0.0,0.0,-2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.283,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1074.0,1128.542,1074.0,0.0,2.0
Outright Games Ltd.,False,6.25,0.001,-1.388,0.125,0.354,0.0,2.025,2.281,1.5,3.412,0.811,3.55,0.125,0.354,0.0,2.75,5.825,0.5,1639.25,2169.447,901.5,0.0,8.0
Outright Games Ltd.,True,22.097,8.813,0.133,3.967,1.305,4.4,3.667,1.069,3.9,3.533,0.896,4.0,42.0,60.918,13.0,171.333,251.039,36.0,637.0,277.144,480.0,3.0,3.0
PLAYISM,False,36.112,0.037,0.85,2.167,2.483,1.5,4.7,0.529,5.0,3.85,0.712,4.15,0.667,0.816,0.5,1.667,0.816,1.5,1472.667,966.215,1050.5,0.0,6.0
"PM Studios, Inc.",False,0.0,0.0,-3.1,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,759.0,122.462,712.0,0.0,3.0
"PM-Studios, Inc.",False,50.0,0.895,-0.1,2.5,3.536,2.5,4.15,1.202,4.15,4.25,0.071,4.25,0.5,0.707,0.5,2.0,1.414,2.0,800.0,1052.175,800.0,0.0,2.0
PQube Limited,False,0.0,0.0,-3.6,0.0,,0.0,0.0,,0.0,3.6,,3.6,0.0,,0.0,0.0,,0.0,943.0,,943.0,0.0,1.0
PSYONIX LLC,True,25.72,0.12,-0.9,2.8,,2.8,3.2,,3.2,4.1,,4.1,178.0,,178.0,692.0,,692.0,148048.0,,148048.0,1.0,1.0
Panic,False,20.0,0.06,-0.2,5.0,,5.0,4.4,,4.4,4.6,,4.6,2.0,,2.0,10.0,,10.0,3159.0,,3159.0,0.0,1.0
Panic,True,6.82,0.16,0.3,3.7,,3.7,4.5,,4.5,4.2,,4.2,3.0,,3.0,44.0,,44.0,1903.0,,1903.0,1.0,1.0
Paper Cult,False,0.0,0.0,-3.7,0.0,,0.0,0.0,,0.0,3.7,,3.7,0.0,,0.0,0.0,,0.0,1142.0,,1142.0,0.0,1.0
Paradox Interactive,False,20.996,0.851,-1.814,1.957,2.479,0.0,1.614,2.107,0.0,3.429,0.519,3.3,0.714,1.113,0.0,3.714,8.139,0.0,492.714,639.845,254.0,0.0,7.0
Paradox Interactive,True,20.773,0.15,-1.083,2.367,1.868,3.25,2.383,1.891,3.25,3.467,0.497,3.6,7.167,8.542,4.5,23.333,28.556,14.0,3700.333,3770.614,2348.5,6.0,6.0
Pillow Castle,True,25.0,0.16,0.2,5.0,,5.0,4.9,,4.9,4.7,,4.7,19.0,,19.0,76.0,,76.0,11896.0,,11896.0,1.0,1.0
Piranha Games Inc.,True,11.11,0.04,1.1,3.0,0.0,3.0,4.4,0.0,4.4,3.3,0.0,3.3,2.0,0.0,2.0,18.0,0.0,18.0,4914.0,0.0,4914.0,2.0,2.0
Pix Arts,False,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0
Pixel Lantern,False,0.0,0.0,-4.0,0.0,,0.0,0.0,,0.0,4.0,,4.0,0.0,,0.0,0.0,,0.0,10.0,,10.0,0.0,1.0
Pixellore,False,0.0,0.0,-4.1,0.0,,0.0,0.0,,0.0,4.1,,4.1,0.0,,0.0,0.0,,0.0,153.0,,153.0,0.0,1.0
PlayWay S.A.,True,27.66,0.48,-0.2,4.6,,4.6,4.4,,4.4,4.6,,4.6,26.0,,26.0,94.0,,94.0,5408.0,,5408.0,1.0,1.0
PlayWay S.A. ,False,17.776,0.136,-0.12,1.6,0.894,2.0,3.04,1.699,3.8,3.16,0.537,3.4,1.6,0.894,2.0,7.2,4.025,9.0,1677.6,1146.208,1165.0,0.0,5.0
PlayWay SA,True,34.21,0.24,0.0,3.8,,3.8,4.1,,4.1,4.1,,4.1,13.0,,13.0,38.0,,38.0,5417.0,,5417.0,1.0,1.0
Playdead,True,33.33,0.09,-0.6,5.0,,5.0,3.7,,3.7,4.3,,4.3,1.0,,1.0,3.0,,3.0,1176.0,,1176.0,1.0,1.0
Playdius,False,0.0,0.0,-2.8,0.0,,0.0,0.0,,0.0,2.8,,2.8,0.0,,0.0,0.0,,0.0,502.0,,502.0,0.0,1.0
Playful Studios,True,29.41,0.15,0.3,4.2,,4.2,4.6,,4.6,4.3,,4.3,5.0,,5.0,17.0,,17.0,3340.0,,3340.0,1.0,1.0
Playniac,False,0.0,0.0,-2.4,0.0,,0.0,0.0,,0.0,2.4,,2.4,0.0,,0.0,0.0,,0.0,464.0,,464.0,0.0,1.0
Playstack,False,7.84,0.06,0.0,3.2,,3.2,3.5,,3.5,3.5,,3.5,4.0,,4.0,51.0,,51.0,6451.0,,6451.0,0.0,1.0
Plot Twist,False,0.0,0.0,-3.0,0.0,,0.0,0.0,,0.0,3.0,,3.0,0.0,,0.0,0.0,,0.0,2549.0,,2549.0,0.0,1.0
Plug In Digital,False,17.857,0.049,-0.914,1.143,2.035,0.0,2.429,1.902,1.0,3.343,0.19,3.2,0.286,0.488,0.0,1.429,1.134,1.0,732.0,248.136,915.0,0.0,7.0
Pocketpair,False,33.33,0.04,0.7,4.3,,4.3,4.1,,4.1,3.4,,3.4,3.0,,3.0,9.0,,9.0,6902.0,,6902.0,0.0,1.0
"Polytron Corporation, Inc",False,0.0,0.0,0.6,0.0,,0.0,5.0,,5.0,4.4,,4.4,0.0,,0.0,1.0,,1.0,113.0,,113.0,0.0,1.0
Poncle,True,16.0,0.09,-0.1,4.1,,4.1,4.6,,4.6,4.7,,4.7,12.0,,12.0,75.0,,75.0,13201.0,,13201.0,1.0,1.0
PopCap,False,0.0,0.0,-4.2,0.0,,0.0,0.0,,0.0,4.2,,4.2,0.0,,0.0,0.0,,0.0,358.0,,358.0,0.0,1.0
PopCap Games,False,60.345,0.17,-1.25,3.0,2.828,3.0,3.0,2.828,3.0,4.25,0.495,4.25,3.5,3.536,3.5,15.0,19.799,15.0,2998.0,3621.801,2998.0,0.0,2.0
"PopCap Games, Inc.",False,29.088,0.168,-0.26,4.0,2.236,5.0,4.0,2.236,5.0,4.26,0.134,4.2,3.2,1.789,4.0,8.8,4.919,11.0,1533.6,790.226,1887.0,0.0,5.0
Prime Matter,False,5.555,0.01,0.65,2.5,3.536,2.5,4.05,0.212,4.05,3.4,1.131,3.4,0.5,0.707,0.5,7.5,2.121,7.5,2350.0,2367.394,2350.0,0.0,2.0
Prime Matter,True,44.44,0.08,1.0,5.0,,5.0,4.6,,4.6,3.6,,3.6,4.0,,4.0,9.0,,9.0,5333.0,,5333.0,1.0,1.0
Prison Games,False,0.0,0.0,-3.6,0.0,,0.0,0.0,,0.0,3.6,,3.6,0.0,,0.0,0.0,,0.0,15.0,,15.0,0.0,1.0
Private Division,True,50.0,0.03,0.4,5.0,,5.0,4.8,,4.8,4.4,,4.4,3.0,,3.0,6.0,,6.0,11545.0,,11545.0,1.0,1.0
ProjectMoon,False,27.27,0.28,1.7,5.0,,5.0,5.0,,5.0,3.3,,3.3,3.0,,3.0,11.0,,11.0,1057.0,,1057.0,0.0,1.0
QubicGames S.A.,False,100.0,2.5,1.2,5.0,,5.0,5.0,,5.0,3.8,,3.8,1.0,,1.0,1.0,,1.0,40.0,,40.0,0.0,1.0
ROCKFISH Games,False,4.545,0.015,-1.9,2.5,3.536,2.5,1.75,2.475,1.75,3.65,0.354,3.65,0.5,0.707,0.5,5.5,7.778,5.5,2817.0,561.443,2817.0,0.0,2.0
Ravenscourt,False,23.81,0.125,0.65,4.5,0.707,4.5,4.15,0.778,4.15,3.5,0.566,3.5,1.0,0.0,1.0,5.0,2.828,5.0,1209.5,986.414,1209.5,0.0,2.0
Ravenscourt Games,True,31.71,0.27,0.2,4.3,,4.3,4.6,,4.6,4.4,,4.4,26.0,,26.0,82.0,,82.0,9476.0,,9476.0,1.0,1.0
Raw Fury,False,12.222,0.017,-1.02,0.933,1.944,0.0,2.813,2.277,4.0,3.833,0.488,3.9,0.267,0.594,0.0,1.467,1.922,1.0,1162.333,922.967,928.0,0.0,15.0
Raw Fury,True,16.528,6.222,0.05,3.05,1.595,3.95,3.867,0.175,3.85,3.817,0.172,3.8,59.833,90.782,18.0,428.5,709.649,107.5,1781.833,1180.558,2194.0,6.0,6.0
Rebellion,False,8.332,0.02,0.725,1.25,2.5,0.0,4.7,0.6,5.0,3.975,0.31,3.9,0.25,0.5,0.0,2.25,1.5,2.0,2439.25,2776.769,1144.5,0.0,4.0
Rebellion,True,21.71,0.15,0.5,3.6,0.566,3.6,3.9,0.707,3.9,3.4,0.849,3.4,7.5,3.536,7.5,36.0,21.213,36.0,5005.5,126.572,5005.5,2.0,2.0
Rebellion Developments Ltd,False,0.0,0.0,0.9,0.0,,0.0,5.0,,5.0,4.1,,4.1,0.0,,0.0,7.0,,7.0,3387.0,,3387.0,0.0,1.0
Red Panda Interactive,False,0.0,0.0,-4.4,0.0,,0.0,0.0,,0.0,4.4,,4.4,0.0,,0.0,0.0,,0.0,8.0,,8.0,0.0,1.0
Remedy Entertainment,False,100.0,5.0,0.2,5.0,,5.0,5.0,,5.0,4.8,,4.8,1.0,,1.0,1.0,,1.0,20.0,,20.0,0.0,1.0
Revolution Software,False,33.33,0.14,-0.5,5.0,,5.0,3.7,,3.7,4.2,,4.2,2.0,,2.0,6.0,,6.0,1401.0,,1401.0,0.0,1.0
Rimlight Studios,False,0.0,0.0,-2.6,0.0,,0.0,0.0,,0.0,2.6,,2.6,0.0,,0.0,0.0,,0.0,5458.0,,5458.0,0.0,1.0
"Robot Entertainment, Inc.",False,0.0,0.0,-4.0,0.0,,0.0,0.0,,0.0,4.0,,4.0,0.0,,0.0,0.0,,0.0,1376.0,,1376.0,0.0,1.0
RogueCode PTY Ltd,False,0.0,0.0,-3.3,0.0,,0.0,0.0,,0.0,3.3,,3.3,0.0,,0.0,0.0,,0.0,727.0,,727.0,0.0,1.0
"Rose City Games, Kowloon Nights",False,0.0,0.0,-3.4,0.0,,0.0,0.0,,0.0,3.4,,3.4,0.0,,0.0,0.0,,0.0,1005.0,,1005.0,0.0,1.0
"Rose City Games, wiip",False,0.0,0.0,-3.4,0.0,,0.0,0.0,,0.0,3.4,,3.4,0.0,,0.0,0.0,,0.0,614.0,,614.0,0.0,1.0
RubberBandGames,True,28.38,0.71,0.3,4.7,,4.7,4.6,,4.6,4.3,,4.3,42.0,,42.0,148.0,,148.0,5889.0,,5889.0,1.0,1.0
"RyseUp Studios, Starbreeze Publishing",True,10.34,0.05,0.2,5.0,,5.0,4.8,,4.8,4.6,,4.6,3.0,,3.0,29.0,,29.0,5601.0,,5601.0,1.0,1.0
SEGA,False,34.141,0.913,-0.727,2.785,2.244,3.45,3.592,1.786,4.4,4.319,0.435,4.5,2.0,3.382,1.0,7.038,19.176,3.0,805.385,974.978,504.5,0.0,26.0
SEGA,True,30.95,0.69,-0.3,4.5,,4.5,4.1,,4.1,4.4,,4.4,26.0,,26.0,84.0,,84.0,3754.0,,3754.0,1.0,1.0
SEGA Europe Ltd,False,19.272,0.06,-1.46,1.73,2.255,0.0,2.1,2.109,1.75,3.56,0.66,3.65,1.6,2.633,0.0,5.7,11.653,1.5,2856.5,4361.53,1255.0,0.0,10.0
SEGA of America,False,10.26,10.26,0.0,4.9,0.0,4.9,4.9,0.0,4.9,4.9,0.0,4.9,8.0,0.0,8.0,78.0,0.0,78.0,78.0,0.0,78.0,0.0,2.0
"SEGA of America, Inc.",False,16.67,0.06,0.9,5.0,,5.0,5.0,,5.0,4.1,,4.1,1.0,,1.0,6.0,,6.0,1556.0,,1556.0,0.0,1.0
"SK Telecom.co, Ltd.",False,0.0,0.0,1.7,0.0,,0.0,5.0,,5.0,3.3,,3.3,0.0,,0.0,1.0,,1.0,782.0,,782.0,0.0,1.0
SMG Studio,False,0.0,0.0,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,0.0,1104.0,0.0,4.0
SNK PLAYMORE,False,8.889,0.031,0.367,2.222,2.635,0.0,4.356,1.636,4.8,3.989,0.276,4.2,0.444,0.527,0.0,2.667,2.236,1.0,811.333,522.051,502.0,0.0,9.0
SNK PLAYMORE CORPORATION,False,50.0,0.14,0.75,2.5,3.536,2.5,5.0,0.0,5.0,4.25,0.071,4.25,0.5,0.707,0.5,2.5,2.121,2.5,471.5,159.099,471.5,0.0,2.0
SNK Playmore,False,50.0,0.25,-0.4,4.0,0.0,4.0,3.5,0.0,3.5,3.9,0.0,3.9,1.0,0.0,1.0,2.0,0.0,2.0,400.0,0.0,400.0,0.0,4.0
SQUARE ENIX,False,18.148,0.092,0.15,2.867,2.388,4.2,4.05,1.158,4.45,3.9,0.705,4.15,2.667,2.902,1.5,10.583,9.05,8.5,3027.583,3158.932,1921.5,0.0,12.0
SQUARE ENIX,True,20.12,0.443,0.133,3.833,1.041,3.5,3.967,0.153,4.0,3.833,0.351,3.8,4.333,4.933,2.0,19.0,15.716,12.0,1038.0,250.653,996.0,3.0,3.0
"SQUARE ENIX CO., LTD.",False,26.765,0.1,0.15,4.9,0.141,4.9,4.25,0.212,4.25,4.1,0.283,4.1,3.5,0.707,3.5,13.5,4.95,13.5,3740.0,1673.015,3740.0,0.0,2.0
SUNNY SIDE UP,False,0.0,0.0,-1.4,0.0,,0.0,2.3,,2.3,3.7,,3.7,0.0,,0.0,3.0,,3.0,1870.0,,1870.0,0.0,1.0
SUPERHOT Team,False,25.0,0.02,0.1,5.0,0.0,5.0,4.5,0.0,4.5,4.4,0.0,4.4,2.0,0.0,2.0,8.0,0.0,8.0,9881.0,0.0,9881.0,0.0,2.0
SUPERHOT Team,True,18.75,0.08,-0.2,1.7,,1.7,3.8,,3.8,4.0,,4.0,3.0,,3.0,16.0,,16.0,3649.0,,3649.0,1.0,1.0
Saber Interactive Inc.,True,63.64,1.51,0.2,3.7,,3.7,4.1,,4.1,3.9,,3.9,7.0,,7.0,11.0,,11.0,463.0,,463.0,1.0,1.0
SadSquare Studio,False,50.0,0.14,0.1,5.0,,5.0,4.0,,4.0,3.9,,3.9,4.0,,4.0,8.0,,8.0,2856.0,,2856.0,0.0,1.0
Secret Mode,False,0.0,0.0,-1.65,0.0,0.0,0.0,2.5,3.536,2.5,4.15,0.495,4.15,0.0,0.0,0.0,0.5,0.707,0.5,308.5,433.456,308.5,0.0,2.0
Sega,False,33.335,0.095,0.7,2.5,3.536,2.5,5.0,0.0,5.0,4.3,0.424,4.3,1.0,1.414,1.0,2.5,0.707,2.5,617.0,636.396,617.0,0.0,2.0
SeithCG,False,0.0,0.0,0.6,0.0,,0.0,5.0,,5.0,4.4,,4.4,0.0,,0.0,1.0,,1.0,680.0,,680.0,0.0,1.0
Serenity Forge,False,14.037,0.197,-1.567,1.667,2.887,0.0,2.833,2.515,3.7,4.4,0.557,4.5,8.0,13.856,0.0,20.0,32.078,3.0,1582.0,2179.516,627.0,0.0,3.0
Shin'en Multimedia GmbH,False,0.0,0.0,-3.8,0.0,,0.0,0.0,,0.0,3.8,,3.8,0.0,,0.0,0.0,,0.0,2412.0,,2412.0,0.0,1.0
Shiro Games,True,27.08,0.29,-0.3,3.5,,3.5,3.3,,3.3,3.6,,3.6,13.0,,13.0,48.0,,48.0,4459.0,,4459.0,1.0,1.0
Silver Lining Interactive,False,12.5,0.07,0.2,3.0,,3.0,3.9,,3.9,3.7,,3.7,1.0,,1.0,8.0,,8.0,1528.0,,1528.0,0.0,1.0
Skookum Arts,False,0.0,0.0,-4.5,0.0,,0.0,0.0,,0.0,4.5,,4.5,0.0,,0.0,0.0,,0.0,2521.0,,2521.0,0.0,1.0
Skunkape Games LLC,False,0.0,0.0,-2.25,0.0,0.0,0.0,2.5,3.536,2.5,4.75,0.071,4.75,0.0,0.0,0.0,0.5,0.707,0.5,82.5,43.134,82.5,0.0,2.0
Skybound Games,False,36.363,0.04,-0.5,3.333,2.887,5.0,3.333,2.887,5.0,3.833,0.874,3.6,0.667,0.577,1.0,4.0,6.083,1.0,1623.667,1089.726,1237.0,0.0,3.0
Skybound Games,True,25.816,0.032,0.32,4.4,1.342,5.0,4.88,0.268,5.0,4.56,0.089,4.6,2.6,0.894,3.0,9.8,2.683,11.0,9020.8,3455.172,10566.0,5.0,5.0
Skystone Games Inc.,False,0.0,0.0,-3.6,0.0,,0.0,0.0,,0.0,3.6,,3.6,0.0,,0.0,0.0,,0.0,1138.0,,1138.0,0.0,1.0
Slitherine Ltd.,False,0.0,0.0,-2.75,0.0,0.0,0.0,0.5,0.707,0.5,3.25,0.778,3.25,0.0,0.0,0.0,0.5,0.707,0.5,328.0,156.978,328.0,0.0,2.0
"Sloclap, Kepler Interactive",True,19.61,0.21,-0.3,3.6,,3.6,3.6,,3.6,3.9,,3.9,10.0,,10.0,51.0,,51.0,4770.0,,4770.0,1.0,1.0
Smilegate Entertainment,False,0.0,0.0,-2.6,0.0,,0.0,0.0,,0.0,2.6,,2.6,0.0,,0.0,0.0,,0.0,25.0,,25.0,0.0,1.0
Snapshot Games Inc,True,0.0,0.0,0.8,0.0,,0.0,3.8,,3.8,3.0,,3.0,0.0,,0.0,6.0,,6.0,2594.0,,2594.0,1.0,1.0
Snowcastle Games,False,0.0,0.0,-4.2,0.0,,0.0,0.0,,0.0,4.2,,4.2,0.0,,0.0,0.0,,0.0,261.0,,261.0,0.0,1.0
Source Technology,False,0.0,0.0,-3.5,0.0,,0.0,0.0,,0.0,3.5,,3.5,0.0,,0.0,0.0,,0.0,59.0,,59.0,0.0,1.0
Spike Chunsoft,False,6.667,0.013,0.7,1.667,2.887,0.0,5.0,0.0,5.0,4.3,0.1,4.3,0.333,0.577,0.0,2.667,2.082,2.0,1946.333,600.401,2227.0,0.0,3.0
"Spike Chunsoft Co., Ltd.",False,0.0,0.0,-1.05,0.0,0.0,0.0,2.5,3.536,2.5,3.55,0.636,3.55,0.0,0.0,0.0,0.5,0.707,0.5,895.0,89.095,895.0,0.0,2.0
Square Enix,False,21.012,0.122,0.108,3.177,2.245,4.3,4.238,1.362,4.6,4.131,0.563,4.4,3.0,4.262,2.0,13.615,18.301,8.0,4169.231,6475.779,1610.0,0.0,13.0
Square Enix LTD,False,7.14,0.01,-2.2,5.0,,5.0,2.0,,2.0,4.2,,4.2,1.0,,1.0,14.0,,14.0,12903.0,,12903.0,0.0,1.0
Square Enix Ltd,False,17.39,0.02,1.2,4.2,,4.2,4.1,,4.1,2.9,,2.9,4.0,,4.0,23.0,,23.0,19345.0,,19345.0,0.0,1.0
Stardock Entertainment,False,0.0,0.0,-2.325,0.0,0.0,0.0,0.75,1.5,0.0,3.075,0.492,3.1,0.0,0.0,0.0,0.25,0.5,0.0,184.5,50.639,177.5,0.0,4.0
Story Fort LLC,False,0.0,0.0,-2.6,0.0,,0.0,0.0,,0.0,2.6,,2.6,0.0,,0.0,0.0,,0.0,649.0,,649.0,0.0,1.0
Strange Scaffold,False,0.0,0.0,-3.6,0.0,,0.0,0.0,,0.0,3.6,,3.6,0.0,,0.0,0.0,,0.0,764.0,,764.0,0.0,1.0
Stray Bombay Company,False,100.0,0.06,-0.1,2.0,,2.0,2.0,,2.0,2.1,,2.1,1.0,,1.0,1.0,,1.0,1792.0,,1792.0,0.0,1.0
Studio Doodal,False,0.0,0.0,-3.4,0.0,,0.0,0.0,,0.0,3.4,,3.4,0.0,,0.0,0.0,,0.0,673.0,,673.0,0.0,1.0
Studio Inkyfox & Future Friends Games,False,0.0,0.0,-4.4,0.0,,0.0,0.0,,0.0,4.4,,4.4,0.0,,0.0,0.0,,0.0,3180.0,,3180.0,0.0,1.0
Studio Wildcard,True,37.465,0.54,0.4,3.6,0.566,3.6,3.5,0.707,3.5,3.1,0.566,3.1,80.0,107.48,80.0,193.5,256.68,193.5,9864.0,10900.758,9864.0,2.0,2.0
"StudioBando, Inc.",True,12.5,0.91,0.1,2.0,,2.0,3.6,,3.6,3.5,,3.5,4.0,,4.0,32.0,,32.0,438.0,,438.0,1.0,1.0
Subset Games,False,50.0,0.265,-3.1,1.5,2.121,1.5,1.5,2.121,1.5,4.6,0.0,4.6,0.5,0.707,0.5,0.5,0.707,0.5,353.5,232.638,353.5,0.0,2.0
Supergiant Games,True,23.47,0.18,-0.4,4.0,,4.0,4.2,,4.2,4.6,,4.6,23.0,,23.0,98.0,,98.0,12465.0,,12465.0,1.0,1.0
System Era Softworks,True,18.18,0.06,-0.2,2.9,,2.9,3.7,,3.7,3.9,,3.9,12.0,,12.0,66.0,,66.0,21766.0,,21766.0,1.0,1.0
THQ,False,32.714,0.28,-1.24,2.94,2.687,4.7,2.78,2.554,4.2,4.02,0.349,3.8,1.6,1.517,2.0,3.2,3.114,4.0,902.4,371.864,969.0,0.0,5.0
THQ,True,50.0,0.17,1.1,5.0,0.0,5.0,5.0,0.0,5.0,3.9,0.0,3.9,1.0,0.0,1.0,2.0,0.0,2.0,574.0,0.0,574.0,2.0,2.0
THQ Inc.,False,33.335,0.125,0.15,2.25,3.182,2.25,4.1,0.849,4.1,3.95,0.071,3.95,1.0,1.414,1.0,2.5,0.707,2.5,837.0,63.64,837.0,0.0,2.0
THQ Nordic,False,5.513,0.013,-0.969,0.577,1.629,0.0,2.796,2.156,3.6,3.765,0.515,3.75,0.192,0.634,0.0,2.654,3.187,1.0,1101.0,1134.411,757.0,0.0,26.0
THQ Nordic,True,40.0,0.22,0.5,4.3,,4.3,4.3,,4.3,3.8,,3.8,12.0,,12.0,30.0,,30.0,5556.0,,5556.0,1.0,1.0
THQ Nordic GmbH,False,0.0,0.0,0.1,0.0,0.0,0.0,4.3,0.0,4.3,4.2,0.0,4.2,0.0,0.0,0.0,6.0,0.0,6.0,5224.0,0.0,5224.0,0.0,2.0
