publisher,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count
Digerati Distribution,0.0,,0.0,0.0,,0.0,-4.0,,-4.0,0.0,,0.0,0.0,,0.0,4.0,,4.0,0.0,,0.0,0.0,,0.0,389.0,,389.0,0.0,1.0
Disney,0.0,,0.0,0.0,,0.0,-1.8,,-1.8,0.0,,0.0,2.0,,2.0,3.8,,3.8,0.0,,0.0,1.0,,1.0,317.0,,317.0,0.0,1.0
Disney Interactive,33.33,,33.33,0.44,,0.44,0.4,,0.4,5.0,,5.0,4.8,,4.8,4.4,,4.4,3.0,,3.0,9.0,,9.0,677.0,,677.0,0.0,1.0
Disney Interactive Studios,30.41,21.47,33.33,0.17,0.14,0.17,0.26,1.03,0.5,3.82,1.95,4.8,4.53,0.97,4.7,4.27,0.29,4.2,2.69,1.78,3.0,8.08,4.85,9.5,1806.27,1405.2,1753.0,0.0,26.0
Distractionware Limited,0.0,,0.0,0.0,,0.0,1.0,,1.0,0.0,,0.0,5.0,,5.0,4.0,,4.0,0.0,,0.0,1.0,,1.0,1432.0,,1432.0,0.0,1.0
Doborog Games,43.24,,43.24,0.8,,0.8,0.3,,0.3,4.3,,4.3,4.4,,4.4,4.1,,4.1,32.0,,32.0,74.0,,74.0,4010.0,,4010.0,1.0,1.0
Dotemu,10.97,15.12,5.28,1.23,2.42,0.03,0.55,0.69,0.35,3.18,2.19,3.85,4.55,0.47,4.65,4.0,0.45,3.95,18.75,34.19,2.5,372.0,714.15,22.0,4921.5,4382.11,4717.5,2.0,4.0
Double Dagger Studio,35.9,,35.9,0.34,,0.34,0.1,,0.1,4.9,,4.9,4.7,,4.7,4.6,,4.6,28.0,,28.0,78.0,,78.0,8354.0,,8354.0,1.0,1.0
Double Damage Games Inc.,66.67,,66.67,0.13,,0.13,-0.3,,-0.3,3.5,,3.5,4.0,,4.0,4.3,,4.3,2.0,,2.0,3.0,,3.0,1552.0,,1552.0,0.0,1.0
Double Eleven Limited,6.25,6.68,6.25,0.0,0.01,0.0,0.5,0.21,0.5,2.5,2.67,2.5,4.5,0.32,4.5,4.0,0.11,4.0,1.0,1.07,1.0,10.5,5.88,10.5,14051.0,10061.85,14051.0,4.0,8.0
Double Fine Productions,33.52,14.73,40.0,0.37,0.25,0.28,0.37,0.46,0.1,4.67,0.15,4.7,4.6,0.2,4.6,4.23,0.64,4.5,7.67,8.96,3.0,21.33,18.23,18.0,1707.33,1012.2,1684.0,3.0,3.0
"Double Fine Productions, Inc.",20.0,11.18,25.0,0.02,0.01,0.02,0.02,2.19,1.0,4.0,2.24,5.0,3.36,1.88,4.2,3.34,0.31,3.2,0.8,0.45,1.0,3.2,1.79,4.0,3882.8,2001.73,4778.0,4.0,5.0
Dovetail Games,0.0,0.0,0.0,0.0,0.0,0.0,-2.57,1.69,-3.25,0.0,0.0,0.0,1.0,1.67,0.0,3.57,0.38,3.65,0.0,0.0,0.0,0.33,0.52,0.0,342.83,365.7,265.5,0.0,6.0
DreadXP,23.81,,23.81,0.64,,0.64,0.2,,0.2,4.3,,4.3,4.4,,4.4,4.2,,4.2,10.0,,10.0,42.0,,42.0,1574.0,,1574.0,1.0,1.0
DrinkBox Studios,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.0,0.0,0.0,5.0,0.0,5.0,3.9,0.0,3.9,0.0,0.0,0.0,4.0,0.0,4.0,11751.0,0.0,11751.0,0.0,4.0
Drinkbox Studios,0.0,0.0,0.0,0.0,0.0,0.0,-2.05,3.75,-2.05,0.0,0.0,0.0,2.5,3.54,2.5,4.55,0.21,4.55,0.0,0.0,0.0,1.0,1.41,1.0,612.5,811.05,612.5,0.0,2.0
Drool LLC,0.0,,0.0,0.0,,0.0,-4.4,,-4.4,0.0,,0.0,0.0,,0.0,4.4,,4.4,0.0,,0.0,0.0,,0.0,247.0,,247.0,0.0,1.0
"E-Home Entertainment Development Co., Ltd",0.0,,0.0,0.0,,0.0,1.6,,1.6,0.0,,0.0,5.0,,5.0,3.4,,3.4,0.0,,0.0,4.0,,4.0,2441.0,,2441.0,0.0,1.0
E-Line Media,0.0,,0.0,0.0,,0.0,0.8,,0.8,0.0,,0.0,4.7,,4.7,3.9,,3.9,0.0,,0.0,3.0,,3.0,3860.0,,3860.0,0.0,1.0
EA SPORTS,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,4.3,0.0,4.3,4.1,0.0,4.1,0.0,0.0,0.0,3.0,0.0,3.0,1030.0,0.0,1030.0,0.0,4.0
EXOR Studios,20.0,,20.0,0.06,,0.06,0.1,,0.1,2.0,,2.0,4.0,,4.0,3.9,,3.9,1.0,,1.0,5.0,,5.0,1665.0,,1665.0,0.0,1.0
Eastasiasoft Limited,0.0,,0.0,0.0,,0.0,-3.2,,-3.2,0.0,,0.0,0.0,,0.0,3.2,,3.2,0.0,,0.0,0.0,,0.0,34.0,,34.0,0.0,1.0
Eastshade Studios,0.0,,0.0,0.0,,0.0,-3.9,,-3.9,0.0,,0.0,0.0,,0.0,3.9,,3.9,0.0,,0.0,0.0,,0.0,1140.0,,1140.0,0.0,1.0
Eidos Interactive Corporation,22.58,,22.58,0.09,,0.09,0.3,,0.3,5.0,,5.0,4.9,,4.9,4.6,,4.6,7.0,,7.0,31.0,,31.0,8149.0,,8149.0,0.0,1.0
Electronic Arts,24.65,27.47,23.08,1.15,10.14,0.07,-0.84,1.78,0.0,2.59,2.11,3.5,2.94,1.92,3.8,3.78,0.71,4.0,7.34,22.89,2.0,28.29,99.84,7.0,5961.38,8978.04,2662.0,0.0,97.0
Electronic Arts ,100.0,,100.0,27.27,,27.27,0.0,,0.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,3.0,,3.0,3.0,,3.0,11.0,,11.0,0.0,1.0
Electronic Arts Inc.,16.97,24.0,16.97,0.32,0.45,0.32,-1.9,3.25,-1.9,2.3,3.25,2.3,2.1,2.97,2.1,4.0,0.28,4.0,18.5,26.16,18.5,54.5,77.07,54.5,3330.0,3473.31,3330.0,0.0,2.0
En Masse Entertainment Inc.,100.0,,100.0,0.46,,0.46,1.6,,1.6,5.0,,5.0,5.0,,5.0,3.4,,3.4,1.0,,1.0,1.0,,1.0,216.0,,216.0,0.0,1.0
Enhance,75.56,21.43,66.67,0.18,0.19,0.08,0.9,0.7,1.2,4.27,0.87,4.5,4.57,0.51,4.7,3.67,0.32,3.8,2.0,1.0,2.0,3.0,2.0,3.0,1907.67,1598.16,1572.0,0.0,3.0
EpiXR Games,0.0,,0.0,0.0,,0.0,-5.0,,-5.0,0.0,,0.0,0.0,,0.0,5.0,,5.0,0.0,,0.0,0.0,,0.0,1.0,,1.0,0.0,1.0
Epic Games,42.59,,42.59,0.65,,0.65,-0.1,,-0.1,4.2,,4.2,4.2,,4.2,4.3,,4.3,23.0,,23.0,54.0,,54.0,3557.0,,3557.0,0.0,1.0
Epic Games Inc.,0.0,,0.0,0.0,,0.0,-4.2,,-4.2,0.0,,0.0,0.0,,0.0,4.2,,4.2,0.0,,0.0,0.0,,0.0,1139.0,,1139.0,0.0,1.0
Epopeia Games,25.64,,25.64,0.28,,0.28,0.2,,0.2,4.6,,4.6,4.8,,4.8,4.6,,4.6,10.0,,10.0,39.0,,39.0,3623.0,,3623.0,1.0,1.0
Excalibur Games,50.0,,50.0,0.16,,0.16,1.2,,1.2,5.0,,5.0,5.0,,5.0,3.8,,3.8,1.0,,1.0,2.0,,2.0,610.0,,610.0,0.0,1.0
FLARB LLC,33.33,,33.33,0.1,,0.1,1.2,,1.2,5.0,,5.0,5.0,,5.0,3.8,,3.8,1.0,,1.0,3.0,,3.0,1018.0,,1018.0,0.0,1.0
"FRAME BREAK, Amplifier Studios",22.22,,22.22,0.22,,0.22,0.2,,0.2,4.3,,4.3,4.3,,4.3,4.1,,4.1,6.0,,6.0,27.0,,27.0,2675.0,,2675.0,1.0,1.0
Falling Squirrel Inc.,0.0,,0.0,0.0,,0.0,1.7,,1.7,0.0,,0.0,5.0,,5.0,3.3,,3.3,0.0,,0.0,2.0,,2.0,1996.0,,1996.0,0.0,1.0
Fantastico Studio,0.0,,0.0,0.0,,0.0,-4.1,,-4.1,0.0,,0.0,0.0,,0.0,4.1,,4.1,0.0,,0.0,0.0,,0.0,11.0,,11.0,0.0,1.0
Fatshark,20.76,7.53,20.76,0.18,0.01,0.18,0.5,0.28,0.5,3.8,0.14,3.8,4.0,0.0,4.0,3.5,0.28,3.5,13.5,10.61,13.5,79.5,79.9,79.5,7277.5,5803.23,7277.5,2.0,2.0
Fatshark AB,0.0,,0.0,0.0,,0.0,1.7,,1.7,0.0,,0.0,5.0,,5.0,3.3,,3.3,0.0,,0.0,1.0,,1.0,3225.0,,3225.0,0.0,1.0
Fellow Traveller,23.43,29.41,20.54,0.64,1.47,0.1,-0.9,2.14,0.15,3.08,2.24,4.0,3.09,2.15,4.3,3.99,0.36,4.0,6.7,14.33,2.0,29.9,68.42,6.5,1266.4,1200.98,874.5,5.0,10.0
Finji,7.03,14.06,0.0,0.02,0.05,0.0,-3.2,2.14,-4.15,1.1,2.2,0.0,1.08,2.15,0.0,4.28,0.17,4.25,2.25,4.5,0.0,8.0,16.0,0.0,3085.5,3981.17,1546.0,1.0,4.0
Flashbulb,16.67,,16.67,0.04,,0.04,1.0,,1.0,5.0,,5.0,4.8,,4.8,3.8,,3.8,1.0,,1.0,6.0,,6.0,2366.0,,2366.0,0.0,1.0
Flashbulb Games,17.46,,17.46,0.15,,0.15,0.5,,0.5,4.5,,4.5,4.3,,4.3,3.8,,3.8,11.0,,11.0,63.0,,63.0,7292.0,,7292.0,1.0,1.0
Flippfly,0.0,,0.0,0.0,,0.0,-3.1,,-3.1,0.0,,0.0,0.0,,0.0,3.1,,3.1,0.0,,0.0,0.0,,0.0,892.0,,892.0,0.0,1.0
FoamPunch,5.0,,5.0,0.03,,0.03,0.2,,0.2,5.0,,5.0,3.7,,3.7,3.5,,3.5,1.0,,1.0,20.0,,20.0,2926.0,,2926.0,0.0,1.0
Focus Entertainment,29.08,21.66,28.0,0.22,0.34,0.08,-0.7,1.39,-0.2,3.3,1.7,3.5,3.02,1.58,3.4,3.72,0.52,3.7,4.6,6.63,2.0,17.44,25.61,6.0,2904.72,3493.72,2373.0,6.0,25.0
Focus Home Interactive,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,2.05,-0.65,0.0,0.0,0.0,3.25,2.06,3.5,3.8,0.41,3.8,0.0,0.0,0.0,1.25,0.5,1.0,3881.0,2224.89,3690.0,0.0,4.0
Freedom Games,0.0,,0.0,0.0,,0.0,-3.8,,-3.8,0.0,,0.0,0.0,,0.0,3.8,,3.8,0.0,,0.0,0.0,,0.0,918.0,,918.0,0.0,1.0
Freejam,0.0,,0.0,0.0,,0.0,-4.1,,-4.1,0.0,,0.0,0.0,,0.0,4.1,,4.1,0.0,,0.0,0.0,,0.0,8.0,,8.0,0.0,1.0
Frictional Games,20.37,35.28,0.0,0.08,0.14,0.0,-0.63,2.78,0.5,1.57,2.71,0.0,3.23,2.8,4.7,3.87,0.31,3.8,3.67,6.35,0.0,6.33,10.12,1.0,2003.33,2176.25,1370.0,0.0,3.0
Frima Studio,0.0,,0.0,0.0,,0.0,-3.3,,-3.3,0.0,,0.0,0.0,,0.0,3.3,,3.3,0.0,,0.0,0.0,,0.0,4748.0,,4748.0,0.0,1.0
Frogwares,25.0,,25.0,0.73,,0.73,0.6,,0.6,5.0,,5.0,4.9,,4.9,4.3,,4.3,2.0,,2.0,8.0,,8.0,273.0,,273.0,0.0,1.0
Frontier Developments,23.26,7.79,22.22,0.07,0.04,0.04,0.2,0.82,0.3,2.97,1.43,2.5,4.14,0.91,4.4,3.94,0.27,4.1,3.57,3.26,2.0,16.43,18.53,9.0,5004.57,2213.53,4958.0,1.0,7.0
Frontier Foundry,20.0,,20.0,0.04,,0.04,0.6,,0.6,5.0,,5.0,5.0,,5.0,4.4,,4.4,1.0,,1.0,5.0,,5.0,2325.0,,2325.0,0.0,1.0
Frozen District,16.33,,16.33,0.12,,0.12,-0.6,,-0.6,4.1,,4.1,3.4,,3.4,4.0,,4.0,8.0,,8.0,49.0,,49.0,6658.0,,6658.0,1.0,1.0
Funcom,6.84,11.84,0.0,0.02,0.04,0.0,0.07,0.32,0.2,1.0,1.73,0.0,4.03,0.87,3.8,3.97,0.91,4.1,2.67,4.62,0.0,15.0,20.88,5.0,5126.0,5505.83,4382.0,0.0,3.0
Future Friends Games & Exbleative,0.0,,0.0,0.0,,0.0,0.8,,0.8,0.0,,0.0,5.0,,5.0,4.2,,4.2,0.0,,0.0,2.0,,2.0,5077.0,,5077.0,0.0,1.0
GIANTS Software GmbH,39.34,38.66,39.34,0.06,0.02,0.06,0.55,0.21,0.55,5.0,0.0,5.0,4.25,0.35,4.25,3.7,0.14,3.7,2.5,0.71,2.5,14.0,15.56,14.0,5278.5,3162.89,5278.5,0.0,2.0
GLITCH,0.0,,0.0,0.0,,0.0,1.3,,1.3,0.0,,0.0,5.0,,5.0,3.7,,3.7,0.0,,0.0,1.0,,1.0,840.0,,840.0,0.0,1.0
Game Troopers,0.0,,0.0,0.0,,0.0,-3.5,,-3.5,0.0,,0.0,0.0,,0.0,3.5,,3.5,0.0,,0.0,0.0,,0.0,37.0,,37.0,0.0,1.0
Gamera Game,0.0,,0.0,0.0,,0.0,-3.4,,-3.4,0.0,,0.0,1.0,,1.0,4.4,,4.4,0.0,,0.0,1.0,,1.0,809.0,,809.0,0.0,1.0
Gamera Games,0.0,,0.0,0.0,,0.0,-3.3,,-3.3,0.0,,0.0,0.0,,0.0,3.3,,3.3,0.0,,0.0,0.0,,0.0,256.0,,256.0,0.0,1.0
Gearbox Publishing,13.64,19.28,13.64,0.02,0.03,0.02,0.15,0.21,0.15,2.15,3.04,2.15,4.1,0.42,4.1,3.95,0.21,3.95,1.5,2.12,1.5,7.5,4.95,7.5,4953.5,4909.44,4953.5,1.0,2.0
Ghost Ship Publishing,19.57,,19.57,0.88,,0.88,-0.3,,-0.3,3.9,,3.9,3.8,,3.8,4.1,,4.1,18.0,,18.0,92.0,,92.0,2050.0,,2050.0,1.0,1.0
Glass Bottom Games,0.0,,0.0,0.0,,0.0,-2.8,,-2.8,0.0,,0.0,0.0,,0.0,2.8,,2.8,0.0,,0.0,0.0,,0.0,1507.0,,1507.0,0.0,1.0
Good Shepherd Entertainment,16.67,,16.67,0.05,,0.05,0.4,,0.4,5.0,,5.0,4.7,,4.7,4.3,,4.3,1.0,,1.0,6.0,,6.0,2028.0,,2028.0,1.0,1.0
Graffiti Games,0.0,0.0,0.0,0.0,0.0,0.0,-3.05,1.63,-3.55,0.0,0.0,0.0,0.75,1.5,0.0,3.8,0.64,4.0,0.0,0.0,0.0,0.25,0.5,0.0,1471.0,1114.41,1303.0,0.0,4.0
GraphicDNA,0.0,,0.0,0.0,,0.0,-3.3,,-3.3,0.0,,0.0,0.0,,0.0,3.3,,3.3,0.0,,0.0,0.0,,0.0,251.0,,251.0,0.0,1.0
Graybeard Games,0.0,,0.0,0.0,,0.0,-2.3,,-2.3,0.0,,0.0,0.0,,0.0,2.3,,2.3,0.0,,0.0,0.0,,0.0,880.0,,880.0,0.0,1.0
Grey Box,0.0,,0.0,0.0,,0.0,-4.5,,-4.5,0.0,,0.0,0.0,,0.0,4.5,,4.5,0.0,,0.0,0.0,,0.0,2253.0,,2253.0,0.0,1.0
Gun Interactive,20.0,,20.0,0.04,,0.04,0.0,,0.0,4.6,,4.6,3.6,,3.6,3.6,,3.6,5.0,,5.0,25.0,,25.0,13023.0,,13023.0,0.0,1.0
HAMSTER Corporation,5.0,11.18,0.0,0.04,0.09,0.0,0.3,0.22,0.2,0.2,0.45,0.0,4.76,0.54,5.0,4.46,0.76,4.8,0.2,0.45,0.0,1.6,1.34,1.0,150.4,199.9,61.0,0.0,5.0
Headup,50.0,,50.0,0.12,,0.12,1.0,,1.0,5.0,,5.0,4.5,,4.5,3.5,,3.5,1.0,,1.0,2.0,,2.0,811.0,,811.0,0.0,1.0
Headup Games,0.0,,0.0,0.0,,0.0,1.5,,1.5,0.0,,0.0,5.0,,5.0,3.5,,3.5,0.0,,0.0,2.0,,2.0,683.0,,683.0,0.0,1.0
Headup GmbH,37.5,53.03,37.5,0.18,0.26,0.18,-0.5,0.85,-0.5,2.35,3.32,2.35,2.9,1.27,2.9,3.4,0.42,3.4,1.5,2.12,1.5,2.5,2.12,2.5,593.0,321.03,593.0,0.0,2.0
Hi-Rez Studios,28.57,,28.57,0.01,,0.01,-1.1,,-1.1,1.5,,1.5,2.7,,2.7,3.8,,3.8,2.0,,2.0,7.0,,7.0,24714.0,,24714.0,0.0,1.0
Hinterland Studio Inc.,19.35,,19.35,0.03,,0.03,-0.2,,-0.2,3.3,,3.3,4.2,,4.2,4.4,,4.4,6.0,,6.0,31.0,,31.0,17916.0,,17916.0,0.0,1.0
Hooded Horse,21.24,26.22,13.72,0.49,0.64,0.32,-0.53,1.65,0.0,2.33,1.94,2.75,3.2,1.63,3.9,3.73,0.25,3.75,1.83,2.23,1.5,12.5,11.98,9.0,981.17,1813.21,265.0,5.0,6.0
Humble Games,9.35,25.39,0.0,0.02,0.05,0.0,-2.15,2.08,-3.4,0.84,1.81,0.0,1.66,2.23,0.0,3.81,0.53,3.6,0.58,1.57,0.0,3.13,7.82,0.0,1440.61,1325.25,1025.0,1.0,31.0
HypeTrain Digital,6.86,9.69,6.86,0.98,1.39,0.98,0.35,0.64,0.35,1.75,2.47,1.75,4.2,1.13,4.2,3.85,0.49,3.85,8.5,12.02,8.5,63.0,86.27,63.0,567.5,415.07,567.5,1.0,2.0
HypeTrain Digital‬,0.0,,0.0,0.0,,0.0,1.5,,1.5,0.0,,0.0,5.0,,5.0,3.5,,3.5,0.0,,0.0,1.0,,1.0,1793.0,,1793.0,0.0,1.0
INTI CREATES,0.0,,0.0,0.0,,0.0,1.0,,1.0,0.0,,0.0,5.0,,5.0,4.0,,4.0,0.0,,0.0,1.0,,1.0,1310.0,,1310.0,0.0,1.0
IO Interactive A/S,33.34,47.14,33.34,0.16,0.23,0.16,-1.65,3.61,-1.65,2.5,3.54,2.5,2.5,3.54,2.5,4.15,0.07,4.15,1.0,1.41,1.0,1.5,2.12,1.5,315.5,429.21,315.5,0.0,2.0
Image & Form Games,0.0,,0.0,0.0,,0.0,1.3,,1.3,0.0,,0.0,5.0,,5.0,3.7,,3.7,0.0,,0.0,1.0,,1.0,1480.0,,1480.0,0.0,1.0
Image & Form International AB,25.0,,25.0,0.08,,0.08,0.4,,0.4,5.0,,5.0,4.5,,4.5,4.1,,4.1,1.0,,1.0,4.0,,4.0,1316.0,,1316.0,0.0,1.0
Infinite Dreams,41.66,11.79,41.66,0.12,0.01,0.12,0.15,0.35,0.15,4.5,0.71,4.5,4.75,0.35,4.75,4.6,0.0,4.6,1.0,0.0,1.0,2.5,0.71,2.5,871.0,66.47,871.0,0.0,2.0
Infogrames,22.22,,22.22,0.08,,0.08,0.8,,0.8,4.0,,4.0,3.9,,3.9,3.1,,3.1,4.0,,4.0,18.0,,18.0,4822.0,,4822.0,1.0,1.0
Innersloth,22.99,,22.99,0.11,,0.11,-0.3,,-0.3,3.3,,3.3,3.5,,3.5,3.8,,3.8,40.0,,40.0,174.0,,174.0,37542.0,,37542.0,1.0,1.0
Jackbox Games,0.0,,0.0,0.0,,0.0,1.7,,1.7,0.0,,0.0,5.0,,5.0,3.3,,3.3,0.0,,0.0,1.0,,1.0,658.0,,658.0,0.0,1.0
"Jackbox Games, Inc",0.0,,0.0,0.0,,0.0,-3.0,,-3.0,0.0,,0.0,0.0,,0.0,3.0,,3.0,0.0,,0.0,0.0,,0.0,247.0,,247.0,0.0,1.0
"Jackbox Games, Inc.",0.0,,0.0,0.0,,0.0,1.7,,1.7,0.0,,0.0,5.0,,5.0,3.3,,3.3,0.0,,0.0,1.0,,1.0,428.0,,428.0,0.0,1.0
Jumpship,0.0,,0.0,0.0,,0.0,-3.4,,-3.4,0.0,,0.0,0.0,,0.0,3.4,,3.4,0.0,,0.0,0.0,,0.0,3891.0,,3891.0,0.0,1.0
KEMCO,0.0,,0.0,0.0,,0.0,-0.3,,-0.3,0.0,,0.0,4.0,,4.0,4.3,,4.3,0.0,,0.0,1.0,,1.0,10420.0,,10420.0,1.0,1.0
KOEI TECMO AMERICA,26.92,25.22,30.77,0.03,0.04,0.02,0.07,0.83,-0.2,0.83,0.76,1.0,3.4,1.44,3.0,3.33,0.61,3.2,1.67,2.08,1.0,5.33,6.66,2.0,8013.0,12305.32,1236.0,0.0,3.0
KOEI TECMO AMERICA Corporation,0.0,,0.0,0.0,,0.0,-3.8,,-3.8,0.0,,0.0,0.0,,0.0,3.8,,3.8,0.0,,0.0,0.0,,0.0,3368.0,,3368.0,0.0,1.0
"KRAFTON, Inc.",15.77,13.72,22.31,0.04,0.05,0.04,-1.4,2.17,-0.2,2.7,2.49,3.2,2.47,2.25,3.0,3.87,0.75,3.9,22.33,31.21,9.0,98.67,140.87,36.0,28835.67,30199.21,23008.0,1.0,3.0
Kairosoft,100.0,,100.0,3.85,,3.85,0.2,,0.2,5.0,,5.0,5.0,,5.0,4.8,,4.8,1.0,,1.0,1.0,,1.0,26.0,,26.0,0.0,1.0
Kalypso Media,20.83,39.65,0.0,0.05,0.1,0.0,-1.81,2.29,-2.9,1.25,2.26,0.0,2.02,2.51,0.0,3.83,0.67,3.9,0.25,0.45,0.0,0.67,0.98,0.0,1246.42,2031.86,461.0,1.0,12.0
Kalypso Media ,0.0,,0.0,0.0,,0.0,-2.0,,-2.0,0.0,,0.0,0.0,,0.0,2.0,,2.0,0.0,,0.0,0.0,,0.0,1842.0,,1842.0,0.0,1.0
Kalypso Media Group,20.0,28.28,20.0,0.09,0.13,0.09,-1.85,3.61,-1.85,1.75,2.47,1.75,2.1,2.97,2.1,3.95,0.64,3.95,1.0,1.41,1.0,2.5,3.54,2.5,1758.0,893.78,1758.0,0.0,2.0
Kalypso Media Group GmbH,0.0,,0.0,0.0,,0.0,-3.0,,-3.0,0.0,,0.0,0.0,,0.0,3.0,,3.0,0.0,,0.0,0.0,,0.0,968.0,,968.0,0.0,1.0
Keen Software House,4.84,6.84,4.84,0.04,0.06,0.04,-1.85,3.61,-1.85,2.15,3.04,2.15,2.1,2.97,2.1,3.95,0.64,3.95,1.5,2.12,1.5,15.5,21.92,15.5,1981.0,2733.67,1981.0,0.0,2.0
Kepler Interactive,19.24,1.08,19.24,1.06,1.44,1.06,-0.2,0.28,-0.2,3.4,0.14,3.4,3.05,0.92,3.05,3.25,0.64,3.25,16.5,17.68,16.5,88.5,96.87,88.5,4348.0,4176.17,4348.0,2.0,2.0
Kitfox Games,0.0,0.0,0.0,0.0,0.0,0.0,-0.95,2.9,-0.95,0.0,0.0,0.0,2.5,3.54,2.5,3.45,0.64,3.45,0.0,0.0,0.0,0.5,0.71,0.5,1928.5,1240.97,1928.5,0.0,2.0
Klabater S.A.,0.0,,0.0,0.0,,0.0,-3.0,,-3.0,0.0,,0.0,0.0,,0.0,3.0,,3.0,0.0,,0.0,0.0,,0.0,57.0,,57.0,0.0,1.0
Klei Entertainment,80.0,,80.0,0.09,,0.09,-0.5,,-0.5,3.5,,3.5,3.8,,3.8,4.3,,4.3,4.0,,4.0,5.0,,5.0,4368.0,,4368.0,0.0,1.0
Koch Media,19.35,0.0,19.35,0.17,0.0,0.17,0.2,0.0,0.2,5.0,0.0,5.0,4.8,0.0,4.8,4.6,0.0,4.6,6.0,0.0,6.0,31.0,0.0,31.0,3625.0,0.0,3625.0,0.0,4.0
Konami,32.54,17.87,33.33,0.21,0.1,0.16,0.37,0.25,0.4,5.0,0.0,5.0,4.87,0.15,4.9,4.5,0.26,4.4,4.33,4.93,2.0,11.0,7.81,7.0,1665.33,1176.33,1280.0,0.0,3.0
Konami Digital Entertainment,16.92,29.04,0.0,0.11,0.24,0.0,0.54,1.14,0.4,1.54,2.33,0.0,4.13,1.09,4.0,3.59,0.55,3.6,1.32,3.7,0.0,4.47,9.23,2.0,7253.0,6038.51,5056.0,0.0,19.0
"Konami Digital Entertainment, Inc.",71.43,,71.43,1.22,,1.22,0.3,,0.3,4.6,,4.6,4.4,,4.4,4.1,,4.1,5.0,,5.0,7.0,,7.0,411.0,,411.0,0.0,1.0
Landfall,19.67,,19.67,0.08,,0.08,0.1,,0.1,4.4,,4.4,4.5,,4.5,4.4,,4.4,24.0,,24.0,122.0,,122.0,28957.0,,28957.0,1.0,1.0
League of Geeks,0.0,,0.0,0.0,,0.0,1.4,,1.4,0.0,,0.0,5.0,,5.0,3.6,,3.6,0.0,,0.0,1.0,,1.0,763.0,,763.0,0.0,1.0
Lienzo,0.0,,0.0,0.0,,0.0,0.6,,0.6,0.0,,0.0,4.0,,4.0,3.4,,3.4,0.0,,0.0,2.0,,2.0,548.0,,548.0,0.0,1.0
Lince Works,66.67,0.0,66.67,0.06,0.05,0.03,0.07,0.06,0.1,3.33,0.58,3.0,3.9,0.35,3.7,3.83,0.4,3.6,2.0,0.0,2.0,3.0,0.0,3.0,4426.0,2414.48,5820.0,0.0,3.0
LucasArts,45.74,28.72,50.0,0.42,0.49,0.4,-0.44,1.44,0.0,3.57,1.97,4.75,4.06,1.55,4.8,4.5,0.36,4.7,5.4,4.72,6.0,10.8,9.58,12.0,1707.5,1744.18,1744.5,0.0,10.0
LucasFilm,0.0,,0.0,0.0,,0.0,-3.1,,-3.1,0.0,,0.0,1.3,,1.3,4.4,,4.4,0.0,,0.0,3.0,,3.0,569.0,,569.0,0.0,1.0
Lucasarts,36.36,,36.36,0.26,,0.26,-0.2,,-0.2,4.5,,4.5,4.5,,4.5,4.7,,4.7,12.0,,12.0,33.0,,33.0,4602.0,,4602.0,0.0,1.0
M2H,0.0,,0.0,0.0,,0.0,2.3,,2.3,0.0,,0.0,5.0,,5.0,2.7,,2.7,0.0,,0.0,1.0,,1.0,982.0,,982.0,0.0,1.0
MLB,0.0,0.0,0.0,0.0,0.0,0.0,-1.7,2.4,-1.7,0.0,0.0,0.0,1.5,2.12,1.5,3.2,0.28,3.2,0.0,0.0,0.0,0.5,0.71,0.5,1590.0,2076.07,1590.0,0.0,2.0
MWM Interactive,0.0,,0.0,0.0,,0.0,-3.7,,-3.7,0.0,,0.0,0.0,,0.0,3.7,,3.7,0.0,,0.0,0.0,,0.0,719.0,,719.0,0.0,1.0
"Mad Dog Games, LLC",0.0,,0.0,0.0,,0.0,-3.4,,-3.4,0.0,,0.0,0.0,,0.0,3.4,,3.4,0.0,,0.0,0.0,,0.0,986.0,,986.0,0.0,1.0
Mad Fellows,0.0,,0.0,0.0,,0.0,1.2,,1.2,0.0,,0.0,5.0,,5.0,3.8,,3.8,0.0,,0.0,2.0,,2.0,986.0,,986.0,0.0,1.0
Magic Cube,0.0,,0.0,0.0,,0.0,-3.2,,-3.2,0.0,,0.0,0.0,,0.0,3.2,,3.2,0.0,,0.0,0.0,,0.0,1044.0,,1044.0,0.0,1.0
