publisher,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count
Wadjet Eye Games,0.0,,0.0,0.0,,0.0,-4.6,,-4.6,0.0,,0.0,0.0,,0.0,4.6,,4.6,0.0,,0.0,0.0,,0.0,232.0,,232.0,0.0,1.0
Wales Interactive,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,1.34,-0.55,0.0,0.0,0.0,3.5,0.71,3.5,4.05,0.64,4.05,0.0,0.0,0.0,1.5,0.71,1.5,1551.0,435.58,1551.0,0.0,2.0
Warner Bros. Games,29.38,12.71,26.97,0.14,0.13,0.12,0.11,0.52,0.1,4.26,0.49,4.3,4.33,0.48,4.45,4.22,0.36,4.3,13.83,18.24,7.5,60.17,89.5,34.0,12995.94,13202.48,8048.5,4.0,18.0
Warner Bros. Interactive Entertainment,47.06,0.0,47.06,0.49,0.0,0.49,0.3,0.0,0.3,5.0,0.0,5.0,5.0,0.0,5.0,4.7,0.0,4.7,8.0,0.0,8.0,17.0,0.0,17.0,1639.0,0.0,1639.0,0.0,2.0
WayForward,11.11,33.33,0.0,0.02,0.07,0.0,-1.68,2.68,0.5,0.52,1.57,0.0,2.74,2.61,4.7,4.42,0.1,4.4,0.33,1.0,0.0,0.78,0.97,1.0,1754.44,266.8,1578.0,0.0,9.0
Whippoorwill Limited,0.0,,0.0,0.0,,0.0,0.3,,0.3,0.0,,0.0,5.0,,5.0,4.7,,4.7,0.0,,0.0,7.0,,7.0,4153.0,,4153.0,0.0,1.0
Whitethorn Games,32.06,36.75,13.33,0.14,0.13,0.17,0.1,2.32,1.1,3.26,2.37,5.0,3.67,1.92,4.9,3.57,0.67,3.4,1.43,1.51,1.0,7.0,10.65,2.0,1429.0,1096.49,1276.0,1.0,7.0
Wired Productions,16.94,23.58,8.34,0.02,0.03,0.01,-1.05,1.45,-1.15,2.45,2.69,2.35,2.13,2.36,1.9,3.18,0.98,3.1,0.83,1.17,0.5,2.5,2.81,2.0,2716.17,1490.58,2412.5,0.0,6.0
Wired Productions Ltd,0.0,,0.0,0.0,,0.0,-3.0,,-3.0,0.0,,0.0,0.0,,0.0,3.0,,3.0,0.0,,0.0,0.0,,0.0,739.0,,739.0,0.0,1.0
Witch Beam,0.0,,0.0,0.0,,0.0,-0.7,,-0.7,0.0,,0.0,3.0,,3.0,3.7,,3.7,0.0,,0.0,2.0,,2.0,1435.0,,1435.0,0.0,1.0
Worm Club,0.0,,0.0,0.0,,0.0,-4.4,,-4.4,0.0,,0.0,0.0,,0.0,4.4,,4.4,0.0,,0.0,0.0,,0.0,2475.0,,2475.0,0.0,1.0
Xbox Game Studios,28.03,19.17,22.82,0.15,0.22,0.07,0.18,0.63,0.3,3.82,1.38,4.0,4.23,0.71,4.5,4.05,0.48,4.2,65.13,401.28,3.0,285.89,1778.61,13.0,57306.28,290705.82,4149.5,38.0,54.0
Xbox Game Studios ,17.77,15.4,26.03,0.13,0.13,0.14,-0.03,0.06,0.0,2.73,2.38,3.9,3.87,0.51,4.0,3.9,0.56,4.0,12.33,10.69,18.0,49.33,35.1,66.0,7203.67,5894.26,6945.0,2.0,3.0
"Xbox Games Studios, Rare Ltd",22.22,,22.22,0.03,,0.03,0.2,,0.2,4.0,,4.0,3.9,,3.9,3.7,,3.7,2.0,,2.0,9.0,,9.0,6006.0,,6006.0,1.0,1.0
